time,polarity,subjectivity,bad,depressed,encouraged,happy,joy,loving
2020-04-22 00:58:00,0.0982053238428238,0.4492340631590633,0.31506721529876813,0.16594950380604132,0.027177697807923097,0.021710391426006483,0.02568062576939454,0.3953035106882451
2020-04-22 00:59:00,0.07636706107632449,0.3251931045145331,0.32359894683426577,0.16199175404420071,0.019669282271129164,0.026248734125665252,0.029463227448021965,0.3759121392454409
2020-04-22 01:00:00,,,,,,,,
2020-04-22 01:01:00,,,,,,,,
2020-04-22 01:02:00,,,,,,,,
2020-04-22 01:03:00,,,,,,,,
2020-04-22 01:04:00,,,,,,,,
2020-04-22 01:05:00,,,,,,,,
2020-04-22 01:06:00,,,,,,,,
2020-04-22 01:07:00,,,,,,,,
2020-04-22 01:08:00,,,,,,,,
2020-04-22 01:09:00,,,,,,,,
2020-04-22 01:10:00,,,,,,,,
2020-04-22 01:11:00,,,,,,,,
2020-04-22 01:12:00,,,,,,,,
2020-04-22 01:13:00,,,,,,,,
2020-04-22 01:14:00,,,,,,,,
2020-04-22 01:15:00,,,,,,,,
2020-04-22 01:16:00,,,,,,,,
2020-04-22 01:17:00,,,,,,,,
2020-04-22 01:18:00,,,,,,,,
2020-04-22 01:19:00,,,,,,,,
2020-04-22 01:20:00,,,,,,,,
2020-04-22 01:21:00,,,,,,,,
2020-04-22 01:22:00,,,,,,,,
2020-04-22 01:23:00,,,,,,,,
2020-04-22 01:24:00,,,,,,,,
2020-04-22 01:25:00,,,,,,,,
2020-04-22 01:26:00,,,,,,,,
2020-04-22 01:27:00,,,,,,,,
2020-04-22 01:28:00,,,,,,,,
2020-04-22 01:29:00,0.05692836911586912,0.40797767735267726,0.3085482188807627,0.1778878122660555,0.023306357874520907,0.026396179269900007,0.027014335202878503,0.3820819278637797
2020-04-22 01:30:00,0.054336755218295944,0.363278966296408,0.33156355101761387,0.16129545386776403,0.033559660396168096,0.034149989544080384,0.03846826301291258,0.34587968953771364
2020-04-22 01:31:00,0.04662080860584381,0.349521806766525,0.3312935258895585,0.16278657305499533,0.02305802156839756,0.028023710759783316,0.030892829888210706,0.36317165873487256
2020-04-22 01:32:00,0.09314893288749496,0.3880864820243907,0.3293355937162262,0.16695304621371299,0.02375602802554232,0.03209503454561782,0.03374721686080334,0.35409366330428604
2020-04-22 01:33:00,0.0948095397124243,0.39607520961944026,0.34406095629629607,0.17023015685307866,0.0237752215928075,0.027944280829889905,0.03411572845612756,0.3394977623140068
2020-04-22 01:34:00,0.07469373328173243,0.3293822464187047,0.3172633271533414,0.17404200192726826,0.02320157836226243,0.03204322815828044,0.03610303601489563,0.356423461796819
2020-04-22 01:35:00,0.018486019243006815,0.33238579786328215,0.3232721611989376,0.16526473226276608,0.025200655753178664,0.033809117533271815,0.034657169987377084,0.35748865311930617
2020-04-22 01:36:00,0.0598270052564034,0.39629553162886494,0.3341030788034442,0.16715863147002422,0.028137547920096408,0.027777162777917502,0.03376584135858117,0.35687942979382975
